序号,文件名,巴利句子总数,成功匹配,中文缺失（null）,中文多余（孤立）,原始差异,修正后剩余差异,生成时间
1,14_1.jsonl,314,314,0,0,0,0,2026-05-23 11:22:39 UTC
2,14_2.jsonl,267,267,0,0,0,0,2026-05-23 11:22:39 UTC
3,14_3.jsonl,296,296,0,0,0,0,2026-05-23 11:22:39 UTC
4,15.jsonl,260,260,0,0,0,0,2026-05-23 11:22:39 UTC
5,16_1.jsonl,281,281,0,0,0,0,2026-05-23 11:22:39 UTC
6,16_2.jsonl,186,186,0,0,0,0,2026-05-23 11:22:39 UTC
7,16_3.jsonl,283,283,0,0,0,0,2026-05-23 11:22:39 UTC
8,16_4.jsonl,280,280,0,0,0,0,2026-05-23 11:22:39 UTC
9,16_5.jsonl,297,297,0,0,0,0,2026-05-23 11:22:39 UTC
10,16_5.jsonl,297,297,0,0,0,0,2026-05-23 11:22:39 UTC
11,17_1.jsonl,226,226,0,0,0,0,2026-05-23 11:22:39 UTC
12,17_2.jsonl,192,192,0,0,0,0,2026-05-23 11:22:39 UTC
13,18.jsonl,268,268,0,0,0,0,2026-05-23 11:22:39 UTC
14,19.jsonl,497,497,0,0,0,0,2026-05-23 11:22:39 UTC
15,20.jsonl,182,182,0,0,0,0,2026-05-23 11:22:39 UTC
16,21.jsonl,410,410,0,0,0,0,2026-05-23 11:22:39 UTC
17,22.jsonl,290,290,0,0,0,0,2026-05-23 11:22:39 UTC
18,23_1.jsonl,270,270,0,0,0,0,2026-05-23 11:22:39 UTC
19,23_2.jsonl,396,396,0,0,0,0,2026-05-23 11:22:39 UTC
