序号,文件名,句子总数,中文字符数,模型,Prompt tokens,Completion tokens,原始差异,修正后剩余差异,生成时间
1,001.txt,21,1148,deepseek-v4-pro,2271,5320,0,0,2026-05-18 09:17:09 UTC
2,002.txt,10,766,deepseek-v4-pro,1743,3605,1,1,2026-05-18 09:21:16 UTC
3,003.txt,26,1829,deepseek-v4-pro,3763,9917,0,0,2026-05-18 09:23:54 UTC
4,004.txt,40,2646,deepseek-v4-pro,5210,8662,0,0,2026-05-18 09:31:22 UTC
5,005.txt,57,3365,deepseek-v4-pro,7374,11870,3,3,2026-05-18 09:38:10 UTC
6,006.txt,13,666,deepseek-v4-pro,1601,4851,0,0,2026-05-18 09:47:03 UTC
7,007.txt,26,1233,deepseek-v4-pro,2849,7407,1,0,2026-05-18 09:50:57 UTC
8,008.txt,41,2304,deepseek-v4-pro,5083,13253,0,0,2026-05-18 09:56:24 UTC
9,009.txt,30,1302,deepseek-v4-pro,3017,11030,2,2,2026-05-18 10:06:44 UTC
10,010.txt,310,17644,deepseek-v4-pro,24920,37088,19,19,2026-05-18 10:14:09 UTC
11,011.txt,212,8868,deepseek-v4-pro,15490,25847,5,4,2026-05-18 10:33:29 UTC
12,012.txt,253,7644,deepseek-v4-pro,17779,37843,6,0,2026-05-18 10:47:34 UTC
13,013.txt,138,6610,deepseek-v4-pro,10386,23198,11,11,2026-05-18 11:10:18 UTC
14,014.txt,106,5026,deepseek-v4-pro,6674,19854,0,0,2026-05-18 11:25:50 UTC
15,015.txt,118,6782,deepseek-v4-pro,8637,14965,1,1,2026-05-18 11:38:15 UTC
16,016.txt,229,13879,deepseek-v4-pro,17444,27540,130,130,2026-05-18 11:48:16 UTC
17,017.txt,26,974,deepseek-v4-pro,2356,7291,0,0,2026-05-18 12:05:48 UTC
18,018.txt,76,4251,deepseek-v4-pro,7691,26956,6,6,2026-05-18 12:11:22 UTC
19,019.txt,573,30987,deepseek-v4-pro,61508,15613,5,5,2026-05-18 12:31:12 UTC
20,020.txt,277,13465,deepseek-v4-pro,25697,47613,49,44,2026-05-18 12:39:50 UTC
21,021.txt,309,18599,deepseek-v4-pro,33413,40893,2,2,2026-05-18 13:10:59 UTC
22,022.txt,,,,,,,,
23,023.txt,271,18081,deepseek-v4-pro,33082,17596,31,29,2026-05-18 13:34:28 UTC
24,024.txt,349,17288,deepseek-v4-pro,33526,27565,10,6,2026-05-18 13:39:54 UTC
25,025.txt,179,9921,deepseek-v4-pro,16839,9911,16,11,2026-05-18 13:49:01 UTC
26,026.txt,657,34765,deepseek-v4-pro,68583,73227,8,8,2026-05-18 13:55:26 UTC
27,027.txt,334,26271,deepseek-v4-pro,45016,24241,53,19,2026-05-18 14:17:32 UTC
28,028.txt,117,1511,deepseek-v4-pro,3834,7112,0,0,2026-05-18 14:25:18 UTC
29,029.txt,136,7205,deepseek-v4-pro,11807,7884,2,2,2026-05-18 14:29:39 UTC
30,030.txt,121,6895,deepseek-v4-pro,10898,27326,1,1,2026-05-18 14:34:33 UTC
31,031.txt,186,8857,deepseek-v4-pro,14989,19533,10,9,2026-05-18 14:52:03 UTC
32,032.txt,123,6488,deepseek-v4-pro,10311,16785,3,3,2026-05-18 15:04:15 UTC
33,033.txt,114,6758,deepseek-v4-pro,10611,17529,8,8,2026-05-18 15:14:38 UTC
34,034.txt,124,6513,deepseek-v4-pro,10212,19925,0,0,2026-05-19 04:20:17 UTC
35,035.txt,93,4568,deepseek-v4-pro,7835,19774,0,0,2026-05-19 04:26:51 UTC
36,036.txt,18,870,deepseek-v4-pro,1967,6801,0,0,2026-05-18 15:48:56 UTC
